"taxa","stool.day0.R1_count","stool.day3.R1_count","stool.day6.R1_count","stool.day14.R1_count","stool.day28.R1_count","stool.day0.R2_count","stool.day3.R2_count","stool.day6.R2_count","stool.day14.R2_count","stool.day28.R2_count","stool.day0.R3_count","stool.day3.R3_count","stool.day6.R3_count","stool.day14.R3_count","stool.day28.R3_count","stool.day0.R4_count","stool.day3.R4_count","stool.day6.R4_count","stool.day14.R4_count","stool.day28.R4_count","stool.day0.R5_count","stool.day3.R5_count","stool.day6.R5_count","stool.day14.R5_count","stool.day28.R5_count","stool.day0.R6_count","stool.day3.R6_count","stool.day6.R6_count","stool.day14.R6_count","stool.day28.R6_count","stool.day0.R7_count","stool.day3.R7_count","stool.day6.R7_count","stool.day14.R7_count","stool.day28.R7_count","stool.day0.R8_count","stool.day3.R8_count","stool.day6.R8_count","stool.day14.R8_count","stool.day28.R8_count"
"Thermobaculum",0.823017925719984,0.98374290056015,0.786603732731016,0.620833084405797,0.483400319395338,0.840463085037449,0.832754420215134,0.975099829239193,0.669308624388565,0.686660409162757,0.64146317748003,0.865768950965389,0.871784019862463,0.735000861968255,0.17415560104361,0.802134251012345,0.606052690624985,0.878013689130662,0.838174901878843,0.879541266851779,0.831658474188919,1.07173887439032,0.735562625185907,0.769439200818893,1.48032054674065,0.931317420018703,0.900750211128911,1.02730462533568,0.390318390014064,1.08648331499913,1.04125100915603,0.98534187312911,0.851668011194542,0.81202523493914,0.775518296229429,0.769848742973794,0.855708288207621,1.0202631460151,0.524655221596586,1.07700691161924
"Syntrophus",-0.391295569528951,-0.150412107413564,0.634782251505174,0.0509202706664085,-0.881291335103939,-0.127797214027931,-0.228686000326993,0.0438338458491638,-0.501048475626862,-0.326003010582959,-0.435935927152191,0.355440847630796,0.370205501835394,0.0230686368710082,0.932232778921931,-0.290958212883021,-0.0683950493086436,0.323704488517454,0.0374066949992984,-0.199872973586249,-0.353338429513721,0.657760790220626,-0.154627426747066,0.0222574005420282,-0.358477489708949,-0.249803538476011,0.121342322538696,0.394467679467704,0.0902881136046081,-0.291370040655709,-0.309362615750381,0.128899240314567,1.43994809881919,-0.188337160248522,-0.297621102916979,-0.223805074205831,0.275594415391597,1.00421959970983,-0.441822268371062,-0.436111955269949
"Providencia",0.120673401675058,0.0910107840419546,-0.172983059574858,-0.0860438388067243,0.177432678524048,-0.0124331580940631,-0.14021494695305,-0.207225599404126,-0.0539959355752513,-0.0676391631597711,0.175595146205526,-0.0496710840238125,-0.167993174004008,-0.0698231318135913,0.52746962850127,0.189231232390927,0.0165734417372276,-0.0897971681441968,-0.0844854712118823,-0.185871777774445,0.0988815759069539,-0.0949830666386994,-0.0573640308060688,0.185141573453513,-0.12795033062589,0.0939046421328219,-0.100791814121717,-0.0717083076323418,0.548077892349272,-0.102834484984461,-0.00796392075513117,-0.146397606332874,-0.150712404506958,-0.13497788109295,0.388156047600894,0.12887055472359,-0.107778329980715,-0.158184621758713,-0.0840883951199843,-0.00710589634676906
"Tropheryma",0.693023483224354,0.39195618005937,0.42854524292814,0.549002359732315,0.241179731127219,0.348678449849833,0.328552385998242,0.498548951158991,0.539063613591594,0.472901123690257,0.319216378213863,0.557115390620413,0.404608191898728,0.361478891842948,0.210159142448953,0.389419382633866,0.262580189899395,0.376179016280527,0.536216093168093,0.388442412094448,0.438425512111397,1.17942477522101,0.423362576255941,0.497662556218112,0.41679511680622,0.391533443845291,0.578739655320667,0.572076885541632,0.313502208533711,0.42559079990681,0.367482801769006,0.385943956109745,1.17743140719852,0.313704784688772,0.439253396645732,0.391753613020862,0.387468150733843,0.444661802302921,0.54762099994135,0.334175976229927
"Jannaschia",0.850997094821094,1.22592331749536,1.02689018850866,1.42652133645385,0.700868758921367,0.869926586806868,1.03608815260863,1.02564824087156,1.18695587400584,1.50011882407737,1.06921120438139,1.18496497961051,1.05459559469287,1.21505469920482,0.664023285406256,1.67031227500937,1.22399922917335,1.19591395656976,1.75952630575218,1.65760953743563,1.69890703527912,1.29097188202308,1.04668657578367,1.46829014481741,1.38647500156415,1.21728941502969,1.35651902225092,1.60595948947001,1.27929199350313,1.48006802559267,0.961320234284606,1.25109202323429,1.80194607303394,0.908522388047711,1.56735062650109,1.25034514205976,0.981445268189455,1.84502859403901,1.28622003788797,1.51694140975187
"Nitrosospira",0.273369479642204,-0.256942417234721,-0.811267605462207,-0.0110751169855279,0.000259782480387827,0.0284448582851542,0.349700697352189,-0.569345847160607,0.540168601421942,0.032319059450058,-0.0269124566526158,-0.417833770582101,-0.816130286701947,-0.554648098230838,2.13652426956512,0.405956662952674,-0.182229993419891,-0.636113815631437,-0.529171234157618,-0.895195499327852,0.335786567013244,0.137848491637959,-0.341099209874387,0.796264281190332,-0.462175903217792,0.177965464257884,-0.0595647626989013,-0.065062114749237,0.558322500038722,-0.212093245422792,0.594462601819304,-0.229601432020801,-0.317258291500477,-0.152101056569168,1.24485218771764,0.410584969244304,-0.170073000946491,-0.234139812872057,0.503405203200712,-0.576200705850332
"Tetragenococcus",0.263585673692584,0.0482449772204644,-0.0312193303154667,0.268744108696947,-0.0765901348055408,0.124582464941142,0.0172040121902754,0.0605051415832863,0.290764965004186,0.308021146539333,0.0695358398179965,-0.0317051748257086,-0.0567209381838237,-0.133097532842346,0.152023889870841,-0.0401944096109255,-0.0940891544312796,-0.0770022077160307,-0.234235724892454,-0.186745994795814,-0.0553821967613475,0.0317177236920174,-0.117851539934864,-0.246054292450312,-0.0641563882566068,-0.0742015373353824,0.0498944912951784,-0.0207553994276667,-0.110019457148505,-0.0205804735700678,0.105974405867575,-0.0153987234931166,-0.119313132090374,-0.0840028922971869,0.0682822539745502,-0.0772002110246626,-0.102240358906734,-0.148470115152557,0.494428978935299,-0.136282753052901
"Methylococcus",0.451588863315021,0.452058307477297,-0.023036451316182,0.974700371080288,-0.117588373614379,0.206619123779249,-0.223824022867065,-0.217565635209006,0.318533068811258,0.653003698380101,0.53656971507036,0.0968942246937083,0.090208018615624,1.21307689494917,0.177585691002021,0.0544700690622595,-0.0876011359966117,-0.303548259303716,-0.235249652567463,-0.155294354664804,0.0918205785836745,-0.298112300215974,-0.436894258723041,-0.574390808802233,0.0872488364034707,-0.0529439706251534,-0.159188907845941,-0.201664478862635,-0.669594473586424,-0.215373349781853,-0.209547010407471,-0.1262474981884,-0.032314439476419,-0.359978535958931,0.787403669395001,-0.13322777518523,-0.210867580458351,-0.356854714159182,-0.426496128384775,-0.364377014417254
"Anoxybacillus",5.69668162998763,5.99092265894005,5.31654982668205,5.75487473127767,5.45117623494419,5.42623698859791,5.4455734268135,5.56052382663862,6.22369130984409,5.23333333219122,5.06685874106945,6.03808144049504,5.56248614648024,6.25918590840003,6.40496490347244,5.26526334160841,5.20169201263932,5.39439489486188,6.15443770372937,5.17253562239437,4.86185633128734,5.72748531326769,5.38389173803872,5.18859219595424,5.33545706490516,5.65870959254077,5.49480426585924,5.50904101984146,5.77448098631541,5.11097778073363,5.43811275027971,5.42493036266008,5.60229945278079,5.00104237767943,5.65526041770029,5.18875464508983,5.38658455378113,5.27658109438544,5.64227055437803,5.0577358538548
"Paracoccus",-0.121992415714019,0.18007544865437,-0.27877601472178,-0.115452778174722,-0.117207653101711,-0.0615854108481888,0.0027736148354105,-0.11859031268102,-0.175469411635112,0.115168663888859,-0.116575737470259,-0.19494130073118,-0.19768991445702,-0.256278492904442,-0.479887418681141,0.224705300393841,-0.0649511224949597,-0.28494112391793,-0.187394987125152,0.355186114574579,0.226307700025261,0.0175721576907404,0.208666593502,-0.0289392046274222,0.126014580846679,0.0325534392569413,-0.1170487723541,-0.0564477102786103,0.207144952844798,0.521634602634019,-0.127894550473929,-0.0194600174859196,-0.11558498898697,-0.165908581200742,0.540550472108399,0.0700691485065812,-0.0841688491726595,0.17013734839807,-0.134462881408342,0.623089512486759
"Brevibacillus",4.43846790398208,4.77497061541851,4.45672343577434,4.35922463623708,4.73578298957576,4.37304165641979,4.45075191647928,4.69487559408305,5.28538495238963,4.41152812745689,4.26200619127313,4.92231184785125,4.56300624910209,5.21491573886475,3.99331309591499,4.5075230050206,4.60937368045201,4.63484862152003,4.94937237760094,4.94655870577392,4.23048512312693,5.03325488346025,4.8651822681085,4.00414813236223,4.79455974020122,4.48085079401523,4.62936439547066,4.73888960001197,4.11925654580926,4.42218799971791,4.46656414550785,4.68555424559713,4.88927650678926,5.23613616033473,4.15189984471224,4.44977413270555,4.51433081594868,4.95449155615828,5.31091906403209,4.71241517393754
"P1-like_viruses",-0.102547195626542,-0.0660632367337225,-0.077527453695214,-0.0415039084684496,-0.052734090130724,-0.00966568692862457,-0.0847899924058821,-0.0742932664820747,-0.0415039084684496,0.00876050890343803,-0.0324718681632426,-0.0535545919684709,-0.0547473170926966,0.0304064190047437,-0.0486266288755018,0.0774725355478524,0.0430206022233384,0.0153480211892974,-0.00939149355666848,-0.0690484380448516,0.130654341112679,-0.0967504042035877,-0.0482103460754143,0.202508554971752,-0.0532907664179311,0.126400310314896,-0.0309896050301339,-0.0235808206964545,0.327281159293571,-0.0497652954763107,0.186888276228902,-0.0877262443456214,-0.0704500790827735,0.0887143813402074,-0.0690484380448516,0.176958557966253,-0.00513968399578157,-0.00487897141426778,0.00223006097049732,-0.0583439976431883
"Achromobacter",0.0875944049540861,-0.0764056663834874,0.0114360340817291,0.0396662570857351,-0.0721016590303388,-0.0535349924719029,0.0456532325190726,-0.0398454363285319,-0.0647350259954307,-0.0890934218953427,-0.0583718568917799,-0.0633443025223864,0.0658500597065851,0.00763582576412807,-0.0758623686452585,0.117305360034392,-0.0539251139736074,0.0470692936894411,0.0353782932417341,-0.00525663197218842,-0.0459664271038919,-0.0692024758139784,-0.0507050317679539,0.0304890172837601,-0.0818655811766855,0.0016144447081011,-0.0205726681041484,0.00728857984037407,0.0676699632526641,0.0199531787618406,-0.16165670237303,0.146601461066864,0.251643890492112,-0.046559301882369,-0.0841185349542519,-0.0560427098783159,0.0881633285618006,0.240698818400719,-0.0493486670025141,0.00680313272225758
"Pseudonocardia",0.543302255746521,0.427640009473997,0.676837088226425,0.675828881814247,0.435676752620917,0.60844990019344,0.679301706856268,0.321042389405886,0.592580688327511,1.14997905517588,0.690415266559182,0.357032841801716,0.596535416327438,0.425621349050961,0.0604181344638759,1.57349928699003,0.89523377744421,0.707557556867006,0.939007774161841,0.987245251276575,1.0784010711559,0.851929943499472,0.690541574650468,3.0428530949704,0.525357414883094,1.32322379361741,1.05690324180416,0.994790346260845,2.37150249564447,1.01143227691476,2.03164603936365,0.793027583285792,0.380418939667836,0.789675787308536,0.74415026083741,1.45464359526276,0.8895802977788,0.272436075766591,0.842004795621867,1.12705754838007
"Granulicatella",0.221929664757182,0.0466449215981233,0.137204271239098,0.143478331513566,0.268678277208844,0.170711265498845,0.124141577867568,0.0872023960786516,0.185589458770058,0.180139534956551,0.133441965621522,0.0842943632397548,0.129844572033498,0.0104949689601199,0.764297774639575,0.0584072249807454,0.0436400358336624,0.144707091984048,0.0635255874039677,0.0450098129368291,0.0653249716768512,0.054263959696289,0.15165247908582,0.0155548141948418,0.0544149219324489,0.0795502022042547,0.0931478921675217,0.0818842379124013,0.0683876234469544,0.147497196875918,0.106738462697779,0.0951261115689663,0.0644898797273935,0.147897297409622,0.102503596976204,0.078825253962118,0.0901558341390699,0.135473392670837,0.0966005724399028,0.103629864809139
"Meiothermus",0.805966206782405,1.05962167950216,0.792155919326433,0.70256008160462,0.495088560143852,0.729115499535784,0.815858930137866,1.02011842107044,1.13379332032381,0.594365351726235,0.783601678345642,1.09300857975043,0.921946772869824,0.984294030249001,0.361902639084419,0.852519838363877,0.852931125920582,0.902169641445793,0.98074168770144,0.658413584068394,0.659018027352257,1.03172794321073,0.967123462080636,0.644950502585086,0.739776755311237,0.647899657536621,0.879986870747568,1.05460241222969,0.65335457696494,0.724742265673216,0.765240010440505,0.742496007172289,1.0747150050537,0.844913344545469,0.775518296229429,0.677183804943912,0.724228178417033,1.04341913239705,1.0758859467673,0.640205405454205
