"","stool.day6.R1_count","stool.day3.R3_count","stool.day6.R8_count","stool.day28.R8_count","stool.day3.R7_count","stool.day3.R2_count","stool.day28.R4_count","stool.day28.R2_count","stool.day6.R4_count","stool.day0.R6_count","stool.day0.R8_count","stool.day6.R5_count","stool.day0.R2_count","stool.day14.R5_count","stool.day6.R7_count","stool.day14.R3_count","stool.day28.R3_count","stool.day0.R4_count","stool.day3.R8_count","stool.day14.R6_count","stool.day28.R6_count","stool.day6.R2_count","stool.day14.R2_count","stool.day14.R1_count","stool.day3.R1_count","stool.day14.R8_count","stool.day0.R5_count","stool.day3.R5_count","stool.day14.R4_count","stool.day28.R1_count","stool.day0.R3_count","stool.day6.R6_count","stool.day3.R6_count","stool.day0.R1_count","stool.day0.R7_count","stool.day28.R7_count","stool.day14.R7_count","stool.day3.R4_count","stool.day6.R3_count","stool.day28.R5_count"
"Methanothermobacter_marburgensis",5.98775375777267e-06,0,8.89741327421392e-06,5.7900137419048e-06,0,5.97134463499314e-06,0,7.38858151822615e-06,0,6.19810221478088e-06,1.14008096643648e-05,0,0,7.5269221717915e-06,7.36261324494007e-06,0,0,5.91205914503455e-06,6.13980346598658e-06,0,0,0,0,0,0,5.57140922167365e-06,0,0,0,0,0,5.58438895059977e-06,5.48168840960179e-06,1.16759469376356e-05,6.95244347892735e-06,1.60547388337902e-05,0,0,0,0
"Pediococcus_cellicola",0.000177932874258732,0.000167251621281295,7.41706133177253e-05,0.000214385733571128,0.000109037418096417,0.000114258487314568,9.95633795451316e-05,0.000390856681970978,0.00022136284710036,5.26266303248351e-05,6.39139818180635e-05,0.000153557431193977,0.000244314978027938,0.00019836999903724,6.21007629967807e-05,0.00040544408120224,0.000745413890984906,7.56314744349291e-05,6.81699695710187e-05,0.0004885031197198,0.000316071733856958,7.48026454672083e-05,0.000398346719118882,0.000573909631498984,0.000107740809240097,0.000386566871835328,4.65041773007904e-05,0.00010595722346035,0.00013896355122487,0.000353424262961961,0.000171908906189466,0.000181071551861981,0.000196349265996778,0.000340432414411948,4.64018219638999e-05,0.000352674836049773,0.000237385113325612,0.000252062597425054,0.000105762769556318,0.000236088913551837
"Avibacterium_paragallinarum",0.000277626148944285,0.000150938828916397,0.00016288180999487,9.82976240859266e-05,0.000129779417049486,0.000230810098004539,0.000114140092040794,4.93717429901162e-05,0.000322223779098221,0.000194444494107958,0.000254793311946838,0.000227773227144936,0.000317198484467201,1.492748623784e-05,0.000148979687428054,0.000407614333531919,7.82890050752193e-06,0.00024154911354163,0.000177494995891575,3.8838472875955e-05,0.000100139789496436,0.000367659788981413,0.000154344113368154,0.000182111522538393,0.000330269197744757,2.18632731736725e-05,0.000222303323480411,0.000252603347339316,0.000675032911303273,8.77634762303146e-05,0.000227375352737711,0.000257731334209816,0.000219256203718967,0.000203912601749449,0.000265881929170699,7.50106741981859e-05,8.86852814295465e-06,0.00026937263394933,0.000300566625602223,0.000204798236044445
"Halothermothrix_orenii",0.000968766204543087,0.00109695446431006,0.00110956756815642,0.000875309452944475,0.000996197795533301,0.00100060432292698,0.000985430446608742,0.000764704992231345,0.000948374602077484,0.000910808794195506,0.000893831809508222,0.00100029936879928,0.00090514589703661,0.00083966783476577,0.00120510237367172,0.00132783579661946,0.000760660232987262,0.000888334080742087,0.000976804603756542,0.000763033121920418,0.000860344796509038,0.00102468489912347,0.000992443702459518,0.000989359020173355,0.00105862797092523,0.00097304852399638,0.000874053301925636,0.0010596991228481,0.0010223618918196,0.000816777035655403,0.000956257890634148,0.00103896378932092,0.000954733502103506,0.000938659423376188,0.000977524697180157,0.000914710172356319,0.000913162099671202,0.000931421538716681,0.00099044772159851,0.00103033322301824
"Borrelia_turicatae",1.77052390100605e-05,7.21534316112684e-05,0.000130877105526225,3.35984398045956e-05,4.59085650126492e-05,8.62070287512589e-05,2.41866942641626e-05,4.93717429901162e-05,4.24823230409615e-05,4.15107878891642e-05,5.3957959687711e-05,7.5170134381088e-05,4.75959286938785e-05,4.33466390048936e-05,8.09463640603918e-05,5.07201638798977e-05,7.82890050752193e-06,9.94668218731088e-05,8.35603145994402e-05,3.8838472875955e-05,3.62518207256907e-05,0.000102348916059525,7.26873569570563e-05,0.0001164093483924,5.13834944925352e-05,9.5144311888172e-05,4.01765642875873e-05,6.92882510819264e-05,6.80314002792803e-05,3.10639833122402e-05,2.55898843295861e-05,0.000115876431948647,7.06158511591484e-05,5.52182430361714e-05,7.07749237939454e-05,2.38686685794822e-05,1.75816890058304e-05,5.54534759185416e-05,5.64543347392123e-05,5.50349659331718e-05
"Mesorhizobium_loti",0.000790298160423879,0.000782839090064197,0.000811756623919838,0.000831921615898279,0.000830615442933829,0.000800848008322334,0.000849965470653427,0.000864519761411752,0.00080352317152459,0.000857835505859031,0.000948664444448287,0.000784768829676477,0.000758609437639981,0.000822380646037869,0.000769930602525745,0.000820938272231518,0.000677431927408892,0.00093795434761372,0.000828143516137519,0.000850079423290553,0.000875057960798561,0.000811876669150178,0.000875567042472847,0.00086707045555857,0.000778643476896271,0.00096015458302859,0.0010086053508804,0.000776584871095388,0.00093124932999791,0.000835565358896995,0.000832012299838946,0.000803695828047798,0.000813284733041262,0.000812922002664329,0.000799626362377598,0.00111349411991217,0.000752941839832357,0.000850141697709863,0.000800389699310365,0.000973352709414431
"Aeromonas_allosaccharophila",0.000193223648428166,9.79554945555809e-05,0.00013747019238646,0.000158352227512951,0.000236080121519239,0.000304387274678487,7.41226763844271e-05,8.16296421426508e-05,0.000324687275601148,0.000277782551281384,0.000266705734894861,6.93907161625586e-05,0.000211834122659321,7.5269221717915e-06,4.23860128638107e-05,0.000164990115504905,0,0.000225095396542068,0.000328965099867441,1.33292048584141e-05,0.000151489593479082,0.000229603527104042,2.55525415534897e-05,7.51866349250353e-05,4.52999063165023e-05,4.26637878836652e-05,0.000268548353452804,0.000123155412306375,0.000359361426204996,7.95566405987985e-06,0.000165952196295505,0.000205033199407603,0.000212844916036044,0.000138588871130988,0.000210383980172032,9.52387767243452e-05,8.86852814295465e-06,0.000272747317224115,0.000212005048081861,0.000130437329336572
"Cupriavidus_pinatubonensis",0.00088822053461294,0.00076306509996036,0.00078181343591627,0.00104776937780761,0.000921344257868218,0.000849911634735812,0.000800003325117409,0.00104156710971855,0.000835605722179499,0.00110666701138392,0.00104774423751848,0.000796446040951912,0.000946954694402363,0.00104542312348644,0.000728760536102761,0.000775402798672679,0.0016192599915457,0.000923429991063291,0.000997384405577183,0.00108150123008638,0.00103577906450908,0.000865010308560557,0.00106164959356458,0.00105880573443664,0.000773433268740742,0.000983316626366652,0.000991009441046678,0.000830853468540179,0.00078959710724259,0.00116033914842275,0.000910078906360272,0.000840360576573877,0.000977097250309487,0.000956577441966497,0.000980896621535708,0.00111546634012232,0.00122580441213663,0.000889920402713211,0.000907688935367198,0.00091780850468536
"Bacillus_sp._JAMB-602",7.17095238788468e-05,2.29350722995133e-05,8.89741327421392e-06,0,3.96566679840471e-05,1.76516415067841e-05,1.82654607180179e-05,0,8.08192723894026e-05,6.87463632226233e-05,3.32553928485381e-05,6.7990997175409e-06,4.75959286938785e-05,0,2.17180517774229e-05,5.07201638798977e-05,0,4.49803220623251e-05,1.81472233040409e-05,0,0,2.0017377846542e-05,0,0,3.28567155286971e-05,0,2.72190743152819e-05,6.28524521829687e-05,3.55230923111329e-05,0,0,6.70021055561153e-05,7.97529487062075e-05,3.94448367091997e-05,6.4813514365793e-05,0,0,7.23652671395225e-05,4.18498456103519e-05,4.51467360145652e-06
"Lactobacillus_helveticus",0.00252898696733191,0.00321798034458659,0.00266454449267962,0.00287099135256546,0.00264953754790607,0.00288519926760414,0.00295245567447155,0.003114353653105,0.00304960193897875,0.0022767370043272,0.00268054071719558,0.00306457884638023,0.00269652709872546,0.00307637068384657,0.00267620143880037,0.00262153610637028,0.00375556502813074,0.00286108819555774,0.00258577976561116,0.00325479946311054,0.002761562164025,0.00276202457687811,0.00313876423660278,0.00343696745901833,0.00274671813077815,0.00305649221091011,0.00272531333510504,0.00297521408490981,0.00235186218413349,0.00336321337125187,0.00278736235489016,0.00272931566019155,0.00277215193603162,0.00257998164379368,0.0031427515271671,0.00317954011916236,0.00336719652512299,0.00309394406092091,0.00233431288005611,0.00260412891927004
