"","nogs","rhos","ps"
"57","NOG136899",0.423206180334091,0.00651075295032344
"58","bactNOG08231",0.42133241891861,0.00677770798218758
"59","NOG150033",0.544949233531952,0.000277028030553961
"60","NOG70441",0.514263093471527,0.000687248513246974
"61","firmNOG08412",0.420948177576065,0.00683360191903337
"62","bactNOG10742",0.423633545637131,0.00645115329337687
"63","NOG43436",0.389618217945099,0.0129513941098343
"64","proNOG41161",-0.42029681801796,0.0069292604202138
"65","NOG324036",0.512839674949646,0.000715363778749367
"66","COG2060",0.502091526985168,0.000962942387033205
"67","COG2156",0.417425632476807,0.00736480516560833
"68","firmNOG06362",-0.342335850000381,0.0305971653829777
"69","NOG240260",0.510689914226532,0.000759770631352463
"70","bactNOG82213",-0.313714981079102,0.0486927272685866
"71","bctoNOG02137",0.485064774751663,0.00151237313402497
"72","NOG280678",0.531468629837036,0.000417348200814072
"73","COG5578",0.405193269252777,0.00949464728700988
"74","NOG292607",0.583031892776489,7.88281263619517e-05
"75","NOG15334",-0.560288727283478,0.000170068250988198
"76","NOG257407",-0.449446856975555,0.00362097383240068
"77","NOG304420",-0.675467073917389,1.73761331190292e-06
"78","NOG115256",0.544716775417328,0.000279033711366283
"79","bactNOG42517",0.64250522851944,7.82977856417233e-06
"80","NOG46665",-0.405638039112091,0.00940885665832214
"81","NOG118556",0.56292587518692,0.00015600650999037
"82","dproNOG10191",0.345176368951797,0.0291539308005784
"83","NOG39724",0.540468990802765,0.000318057860789756
"84","COG4314",0.787245154380798,1.689872686228e-09
"85","NOG16695",-0.376858085393906,0.0165298315502067
"86","NOG42182",0.525661647319794,0.000495330914961789
"87","NOG148019",-0.313062846660614,0.049188391723509
"88","COG4178",0.742928922176361,4.02849766878433e-08
"89","NOG326580",0.368125736713409,0.0194317715202863
"90","COG4175",0.542119026184082,0.00030235208699958
"91","bactNOG00013",0.510483145713806,0.000764168550826616
"92","NOG131148",0.613067924976349,2.60385186066081e-05
"93","bactNOG91917",-0.43519201874733,0.00500829701885208
"94","NOG130797",0.430423706769943,0.00556547133315255
"95","NOG136646",0.672506749629974,2.00452494070191e-06
"96","bactNOG33914",-0.48047211766243,0.00170154494643304
"97","NOG130130",0.599541962146759,4.34747787898537e-05
"98","COG3202",0.622245728969574,1.8139038220788e-05
"99","bactNOG07681",-0.388870149850845,0.0131413050025255
"100","NOG47483",0.32251188158989,0.0423914029255354
"101","NOG133189",0.62749719619751,1.46728518028993e-05
"102","bactNOG10281",-0.39274200797081,0.0121833346272795
"103","COG0387",0.646986961364746,6.44806159288969e-06
"104","NOG243241",0.508289277553558,0.000812247395480359
"105","bctoNOG05959",0.599115073680878,4.41671879476413e-05
"106","NOG252086",-0.314644604921341,0.0479931187926608
"107","NOG125431",0.375562578439713,0.0169357459371282
"108","NOG79207",0.319476217031479,0.0444864228853654
"109","bactNOG74040",-0.347091406583786,0.0282130172588608
"110","NOG05806",0.34882441163063,0.0273833225054334
"111","NOG291145",0.350324511528015,0.0266815420616013
"112","NOG319078",0.611949265003204,2.71905184847654e-05
"113","NOG137753",0.446213006973267,0.00390215512817704
"114","NOG68303",-0.628911316394806,1.38491950800734e-05
"115","NOG41723",-0.379334449768066,0.0157767183401969
"116","NOG148072",-0.392817914485931,0.0121651640404445
"117","NOG15182",0.56292587518692,0.00015600650999037
"118","NOG331310",-0.313865423202515,0.0485789547716893
"119","NOG245065",0.506600022315979,0.00085108324033345
"120","NOG271040",0.542075157165527,0.000302760467588481
"121","NOG315511",-0.344992578029633,0.0292455795129911
"122","NOG47037",-0.342398673295975,0.0305646205760337
"123","NOG289413",-0.431294173002243,0.00545992763082004
"124","bactNOG47267",0.55233234167099,0.000219692884936951
"125","NOG252697",-0.401125848293304,0.0103107439309991
"126","NOG115302",0.710753560066223,2.76724076320178e-07
"127","NOG138293",0.506680846214294,0.000849188141192503
"128","NOG292049",0.707841575145721,3.25289783997817e-07
"129","bactNOG07968",-0.577483832836151,9.55928727890409e-05
"130","NOG117318",-0.44795835018158,0.00374812278001913
"131","NOG316939",-0.527355432510376,0.00047133874947769
"132","bactNOG98501",-0.410803020000458,0.0084601874347694
"133","NOG124820",0.525899529457092,0.000491896736506181
"134","NOG10760",0.72208172082901,1.44735915919014e-07
"135","NOG259845",0.392990976572037,0.0121238223879163
"136","NOG74774",-0.644962728023529,7.04177134802642e-06
"137","NOG67829",-0.639197766780853,9.01807358544282e-06
"138","NOG287801",-0.451474100351334,0.00345386725314123
"139","NOG113141",0.553008913993835,0.000215015353039361
"140","NOG299240",0.490545183420181,0.00131114009971345
"141","NOG130903",0.566237568855286,0.000139838006388837
"142","NOG303362",-0.375562578439713,0.0169357459371282
"143","NOG281574",-0.381460279226303,0.0151535109888825
"144","NOG87357",0.456639587879181,0.00305815789160091
"145","bactNOG93964",-0.5428706407547,0.000295431673759339
"146","NOG83361",0.432083189487457,0.00536576196115712
"147","NOG243676",0.328285276889801,0.0386281161739164
"148","NOG296021",0.599848747253418,4.29832902031357e-05
"149","NOG83983",0.571679949760437,0.000116527810680056
"150","COG3518",0.485348701477051,0.00150131357840899
"151","bactNOG17221",-0.6064812541008,3.35193851044302e-05
