"","inds","deps","slopes","intersects","sps","ips"
"19","P1-like_viruses","Teredinibacter",1.06246021677151,-0.418088034755174,0.0488321589456794,0.0873675707662913
"20","Kluyvera","Herminiimonas",0.418156039964909,0.280182525331227,0.0107656070158627,0.0119676698042599
"21","P1-like_viruses","Herminiimonas",-0.602412288043507,0.367066044737134,0.026227095671119,0.0304298408210624
"22","Nannocystis","Herminiimonas",-0.795145515177743,0.133912598324037,0.0118276783025576,0.0495656581762799
"23","Methanobacterium","Herminiimonas",0.921487190012475,-0.0925743148172681,0.0360923297510535,0.483817848191661
"24","Faecalibacterium","Herminiimonas",-0.684158708217833,0.0229257913641272,0.00214944889341356,0.414835437646429
"25","P22-like_viruses","Capnocytophaga",-0.926638165363288,-0.459660312651501,0.0378856605276954,0.0727926369965698
"26","Laceyella","Capnocytophaga",-0.937532042291793,0.495841387863393,0.015105095891119,0.00947648757195222
"27","Bpp-1-like_viruses","Thermodesulfovibrio",-0.560677601491105,-0.0784315164834211,0.024837186487837,0.296289191283113
"28","Cystobacter","Thermodesulfovibrio",-1.31448071208611,0.0974234199115646,0.0156051353701789,0.503965974095833
"29","N4-like_viruses","Thermodesulfovibrio",-1.14508662215799,-0.19456927793667,0.0311754211086952,0.227070306223637
"30","Aphanizomenon","Thermodesulfovibrio",-1.10779524148357,0.468686123509048,0.0305409216659864,0.0789452640252658
"31","Methanobacterium","Thermodesulfovibrio",0.750030634439427,-0.17320673728052,0.0462535450343702,0.168320531407167
"32","Halanaerobium","Thermodesulfovibrio",1.40146486800727,-0.0582089473279055,0.00436587152432647,0.520581094729657
"33","Brevibacterium","Thermodesulfovibrio",-1.31370450106649,-0.0259513990281738,0.00653688582862456,0.813896347319444
"34","Terrabacter","Thermodesulfovibrio",-1.28468495936369,0.0676276671891424,0.0454328092108191,0.72719194481316
"35","Phi29-like_viruses","Thermodesulfovibrio",-1.77656167463934,0.0620819354697899,0.00256223587231898,0.516437738777433
"36","Nodularia","Caulobacter",1.04361469571827,-0.42948375162293,0.000181857026953606,0.000910368795206492
"37","Caldibacillus","Caulobacter",1.24183787809561,-0.4598540148036,0.00507933075203583,0.0181564231025317
"38","Sulfobacillus","Caulobacter",-0.595565059571853,0.226339838734483,0.0405447835504476,0.0398249569294272
"39","Cystobacter","Eubacterium",-5.42687475511202,-0.093823352699688,0.0070955745259198,0.840282184534907
"40","Terrabacter","Eubacterium",-5.22327904437623,-0.297419063435479,0.00684417578648792,0.534309199252443
"41","Cystobacter","Desulfotalea",-1.53460944791092,0.420864202468937,0.0276626076791281,0.0853687101524432
"42","Sphaerotilus","Desulfotalea",0.821706251188205,-0.68139098171733,0.0207498500977204,0.025383660170186
"43","Terrabacter","Desulfotalea",-1.40070520974353,0.28695996430155,0.0190157289435502,0.123699821509894
"44","Phi29-like_viruses","Desulfotalea",-1.72658477334474,0.351338576121712,0.0298153735471627,0.173647020913659
"45","Kluyvera","Ureaplasma",-0.677956294268504,0.241658957826398,0.0444007895594664,0.146944338599708
"46","Ensifer","Ureaplasma",-0.272769351053423,0.0135244660155422,0.0475222583000719,0.731703816483088
"47","Kluyvera","Xanthobacter",1.46517818461121,-0.251705331280125,0.0378945509330234,0.349176770107752
"48","Actinocorallia","Xanthobacter",-0.664462194436345,0.522846466408891,0.0262377521692703,0.00548868716429409
"49","Brenneria","Xanthobacter",-0.898668963550635,0.520957862086707,0.0121036491756587,0.00581609024756861
"50","Cystobacter","Candidatus_Protochlamydia",-0.628608299068805,0.0682114130587388,0.0386327194121441,0.465221903491013
"51","Chlamydiamicrovirus","Candidatus_Protochlamydia",-0.090992781856401,0.200980711137485,0.0184678293937686,0.00591374748446935
"52","Phi29-like_viruses","Candidatus_Protochlamydia",-0.966241434853927,0.0778363112689527,0.0139211885374517,0.419133412852308
"53","Cystobacter","Selenomonas",-1.58966851638294,0.031117465748191,0.029003134405436,0.880746907385521
"54","Algoriphagus","Selenomonas",1.97725616818651,-0.40194852143763,0.0243778442175906,0.0689976600263356
"55","Pyramidobacter","Selenomonas",-1.64152621437855,-0.379883838246661,0.027038907763674,0.126818998390352
"56","Sphaerotilus","Selenomonas",1.35846913049434,-0.988637092315384,0.0316713684157473,0.0531107810146414
"57","Terrabacter","Selenomonas",-1.30117392633145,-0.257377124303297,0.0290811662174409,0.173659539546891
"58","Ranavirus","Marinomonas",0.731677752585181,-0.317106430377041,0.031148000797932,0.0191288853018368
