"","inds","deps","slopes","intersects","sps","ips"
"1052","Caldanaerobius","Sulfurovum",0.425726449421062,-0.131715284686042,0.00211890612043581,0.00616405526050075
"1053","Aeromicrobium","Sulfurovum",0.40468011503102,-0.110668950296,0.00588880390673137,0.0150507683506139
"1054","Methylophaga","Sulfurovum",0.370239872988758,-0.0762287082537383,0.0422934713191276,0.169628460953531
"1055","Thermobispora","Sulfurovum",0.30934489252857,-0.08472139248844,0.0358166574277332,0.10513769280027
"1056","P22-like_viruses","Thermomicrobium",0.538913790101468,-0.126949017132668,0.0280620730314802,0.11050824900675
"1057","Brenneria","Thermomicrobium",0.0600625008664075,0.0869497333340865,0.0419695684137714,0.0167586300011804
"1058","Azospira","Caldicellulosiruptor",0.581343559751475,0.045438992449005,0.0104273728676045,0.446876950531082
"1059","Brenneria","Caldicellulosiruptor",-0.280443688418735,0.195760884697705,0.0235630245636529,0.0194918384829899
"1060","Soehngenia","Caldicellulosiruptor",0.604957297358285,0.0218252548421951,0.0310154517320801,0.776644756906438
"1061","Agromyces","Caldicellulosiruptor",0.299287501365969,-0.0238432966299585,0.0272441044404662,0.543936501333324
"1062","Virgibacillus","Methanocorpusculum",0.372859039343876,-0.00706146809558673,0.0164836318857668,0.798214100782756
"1063","Pectinatus","Candidatus_Accumulibacter",0.473242130559175,-0.809675675555675,0.0406994127374178,0.000933249784616233
"1064","Faecalibacterium","Candidatus_Accumulibacter",1.02254350142852,-0.725934264161105,0.0258446154290865,0.0210220336986596
"1065","Heliophilum","Candidatus_Accumulibacter",0.705462109942649,-0.408852872675239,0.0351467927358356,0.00705454201267669
"1066","Thermobispora","Candidatus_Accumulibacter",0.712642802994286,-0.416033565726876,0.0385959142564641,0.0122546831928649
"1067","Morganella","Halobacillus",0.426779904708735,0.033465539370832,0.00179069673524756,0.282476914440547
"1068","Soehngenia","Halobacillus",0.53221616658507,-0.0877753640479046,0.047807340111512,0.317844679039968
"1069","Candidatus_Cardinium","Halobacillus",0.516304466080413,-0.0560590220008464,0.0115181057333815,0.0610651415032695
"1070","Azospira","Mannheimia",1.27637974876909,-0.105313596707112,0.0205654208038417,0.498703725583844
"1071","Epulopiscium","Mannheimia",0.398804242479062,-0.244251605236362,0.0376223507969898,0.0100905820100283
"1072","Methylophilus","Marichromatium",-0.0722879046195534,0.0295622233989597,0.0301575037195472,0.0441058146914765
"1073","Marinococcus","Marichromatium",-0.0734948987005368,0.0307692174799431,0.0119461061569561,0.00794237121135265
"1074","Sphaerotilus","Marichromatium",-0.0746357993042348,0.0319101180836411,0.0209113260130144,0.0179853285117241
"1075","Phaeovirus","Marichromatium",-0.0696141506268998,0.0268884694063061,0.0319776360022174,0.0378100254118854
