"","inds","deps","slopes","intersects","sps","ips"
"476","Thermobispora","Thermosynechococcus",-0.390390815332043,0.153491484498814,0.0264920002782371,0.0297913536987265
"477","Cobetia","Thermosynechococcus",0.764006959689327,0.061131745715852,0.00192825830879074,0.274980952098173
"478","Microchaete","Geobacter",0.266729859247434,-0.0799176403336339,0.0273727745943049,0.0105176073758624
"479","Ranavirus","Tatlockia",-0.231797014394206,-0.178729309570385,0.0451136301819009,0.0338048160876251
"480","Microchaete","Tatlockia",0.574864232276486,-0.252886744913818,0.0163447846127475,0.000282703465716702
"481","Aphanothece","Tatlockia",0.278812416806991,-0.314454961001294,0.0465107342595569,0.0238405792962578
"482","Cobetia","Candidatus_Korarchaeum",0.482000780197306,0.109241375781768,0.00990318813576233,0.0318414197979328
"483","Iridovirus","Tissierella",0.320153528693272,0.00164784327648143,0.0452196381127585,0.966378668653723
"484","Gemella","Tissierella",0.33978517276718,-0.0179838007974265,0.0437782747487767,0.690437403843915
"485","Flexibacter","Tissierella",0.307481316182813,0.0143200557869404,0.0133872115721512,0.66414751366782
"486","Kluyvera","Tissierella",0.241060623849206,-0.091857065346918,0.035104323855391,0.0531183650459692
"487","Thiocapsa","Tissierella",0.327479808386893,-0.00567843641713964,0.039988242354778,0.883711627160777
"488","Rahnella","Tissierella",0.287026450509113,0.0347749214606398,0.0463600339900397,0.445183649283136
"489","Marinococcus","Tissierella",0.236679354807217,0.0851220171625358,0.0452137266497105,0.0528307998709
"490","PB1likevirus","Tissierella",-0.381791936219918,0.0593502901676814,0.0258094402365806,0.216291127934541
"491","Phaeovirus","Tissierella",0.259064750135598,0.062736621834155,0.0494137262354044,0.173514725321993
"492","Sporanaerobacter","Tissierella",0.28775556504792,0.0340458069218329,0.0408381374733325,0.430388091433405
"493","Collimonas","Tissierella",0.312141964212385,0.00965940775736818,0.0157069949869521,0.78061919890885
"494","phiKZ-like_viruses","Tissierella",0.305837023820586,0.0159643481491672,0.0283845810073867,0.671133613362316
"495","Saccharothrix","Tissierella",0.353769483246228,-0.0319681112764749,0.0476731812843517,0.523128452167528
"496","Ampelovirus","Tissierella",0.35073684509427,-0.0289354731245174,0.036205573171326,0.51792274187043
"497","Agromyces","Tissierella",0.437411154127776,-0.115609782158023,0.0110518093813313,0.0403412135908793
"498","Cylindrospermopsis","Tissierella",0.386089003912152,-0.0642876319423994,0.0255053503849592,0.20073652536099
"499","Peptococcus","Methanobrevibacter",-0.400138348356913,0.149139202046823,0.00833416592068623,0.0148503204721827
"500","Pectinatus","Methanobrevibacter",-0.369222203714992,0.118223057404903,0.00798048921440213,0.0201228429710623
"501","Nitrospira","Methanobrevibacter",-0.330842105849595,0.079842959539505,0.0341899906497281,0.0991978446280222
"502","Phaeovirus","Methanobrevibacter",-0.345921189199752,0.094922042889662,0.025861058778032,0.0807460644225931
"503","Bergeriella","Methanobrevibacter",-0.194805956965673,0.148454708330123,0.036230255260899,0.0160901678734486
"504","Epulopiscium","Methanobrevibacter",-0.402767540353534,0.151768394043444,0.0124467463000772,0.0162998045119235
"505","Gallibacterium","Amphibacillus",0.31810803911828,-0.0300249797464997,0.016663004837681,0.394317604613133
"506","PB1likevirus","Amphibacillus",-0.340157768692737,0.0467714909481792,0.0125296866156474,0.201020787328721
"507","Azospira","Amphibacillus",0.330052428040342,-0.0419693686685623,0.049264840729621,0.424619019540747
"508","Moritella","Amphibacillus",-0.280164332562211,-0.0132219451823472,0.0479431733868016,0.718165589541723
"509","Cobetia","Amphibacillus",0.302487803723348,-0.0144047443515682,0.0201879767360421,0.658811998223041
"510","Bosea","Neisseria",-0.31853616853286,-0.12166140530903,0.0395726588086571,0.0597205538920182
"511","P22-like_viruses","Neisseria",-0.758590590003657,0.265627849222647,0.0464371445598979,0.0884286093922985
"512","Microchaete","Neisseria",0.601497640863257,-0.199931548950437,0.0174386570111685,0.00299982064994822
"513","Phaeovirus","Wigglesworthia",-0.0611860431094119,-0.00561038252953903,0.030108303106489,0.500490909185005
"514","Tsukamurella","Wigglesworthia",0.115366774416342,-0.0148600124765519,0.0473832731677771,0.413664190560304
"515","Brenneria","Wigglesworthia",-0.0485299492613372,0.0104945652023408,0.0315194828041361,0.0837344756438797
"516","P22-like_viruses","Methanocaldococcus",-1.66066035364585,0.582522001215763,0.00854278018801002,0.0171315292458496
"517","Thermobispora","Methanocaldococcus",1.18989292646792,-0.44493538460436,0.0485247311420158,0.0619842650351394
"518","Lysobacter","Methanocaldococcus",1.06230603453536,-0.317348492671798,0.0327018835465962,0.0233913931720677
"519","Cohnella","Methanocaldococcus",-1.32285315595836,0.244714803528267,0.0136054085385354,0.120940949889659
"520","Methylophilus","Gemella",-0.00897407794527687,-1.19262238973405e-18,8.81819751076837e-32,0.465206543553776
"521","Bosea","Gemella",0.000891184457123002,-1.94478764689587e-18,5.99885666661501e-15,0.757146404388328
"522","Virgibacillus","Gemella",-0.000596856856095089,-2.10064170919066e-19,1.02446034254754e-28,0.950883802108253
"523","Ranavirus","Gemella",-2.03077961930247e-18,1.76404645364991e-18,0,0
"524","Entomoplasma","Gemella",8.95807351031096e-19,-7.06509262930746e-19,0.0325621245665489,0.013477873479731
"525","Peptococcus","Gemella",-0.0089681159027787,-5.96204249816502e-06,1.76785462771544e-06,0.422649730810502
"526","Microchaete","Gemella",0.0252317803180208,2.09728390669749e-05,0.000467475580661543,0.988184385819355
"527","Phieco32-like_viruses","Gemella",0.0109854314899587,-0.00197320243221063,0.0367623692786428,0.178434876781465
"528","Marinococcus","Gemella",-0.00897109692402778,-2.98102124908451e-06,9.96880222224523e-15,0.363217467648892
"529","Melittangium","Gemella",0.0128282082432816,-0.00179382039291875,0.0134328450821462,0.17733101512945
"530","Candidatus_Nitrosocaldus","Gemella",0.00991231568170902,-0.000900086623960929,0.0148642294206551,0.400644587602019
"531","Oscillatoria","Gemella",0.0127703379192126,-0.00173595006884979,0.046087390941198,0.395378081769491
"532","Faecalibacterium","Gemella",0.0113328162784104,-0.000298428428047548,0.0290163118574667,0.499999999999998
"533","Desulfotignum","Gemella",0.00901819110024625,-5.96204249816437e-06,1.74827649737981e-06,0.422649730810605
"534","Heliophilum","Gemella",0.0126325246718405,-0.00159813682147775,0.0232137773486352,0.329048025312603
"535","Thermobispora","Gemella",0.0128327806649171,-0.00179839281455427,0.0432265864568893,0.372832963284167
"536","Curtobacterium","Gemella",0.0103795054579441,-0.00136727640019599,0.027758550444188,0.323237187644471
"537","Actinobaculum","Gemella",-0.00990473361115447,0.0009306556658776,0.00923080566638185,0.330620525221197
"538","Lysobacter","Gemella",0.0119277041223926,-0.000893316272029847,0.0426580771730253,0.548641792422838
"539","Cohnella","Exiguobacterium",0.882861196763236,0.111741290370164,0.0459622858807355,0.403678119979822
"540","Gallibacterium","Bdellovibrio",-0.719658886746442,-0.0825469573760578,0.0113164918271726,0.269294269984169
"541","P22-like_viruses","Bdellovibrio",0.387237978508077,-0.0995604283234766,0.024223823467932,0.0833434366946054
"542","Azospira","Bdellovibrio",-0.732114096621988,-0.0700917475005117,0.0200168682164398,0.433043558376711
"543","Soehngenia","Bdellovibrio",-0.64550355193116,-0.15670229219134,0.0179840171544225,0.0829517745119491
"544","Malonomonas","Bdellovibrio",-0.356448686017296,-0.017262400828824,0.0493094115403304,0.757277184033475
"545","Cobetia","Bdellovibrio",-0.688065271839087,-0.114140572283413,0.00961539472742431,0.0964654382603421
"546","Gallibacterium","Oceanobacillus",0.617927315796897,0.0389707430354034,0.0358127897872723,0.62881222789375
"547","Terrabacter","Oceanobacillus",0.418753894976695,0.238144163855605,0.0494347860757382,0.0501838778223047
"548","Thermobispora","Oceanobacillus",-0.259022150050866,0.179382459470846,0.0117558792161326,0.00173239526548686
"549","Cobetia","Oceanobacillus",0.502822082494937,0.154075976337364,0.0120984350872555,0.00878952746600681
"550","Peptococcus","Archaeoglobus",0.48570276786238,-0.33688459113437,0.013043237259215,0.00684212975483051
"551","Lysobacter","Allochromatium",-0.376549032710804,0.101726789666994,0.0475331415715565,0.0525867942886586
"552","Parachlamydia","Thiomonas",0.0539863694884393,0.0100987882832298,0.0273990427910778,0.190142266892702
"553","Flexibacter","Thiomonas",-0.0200932276936419,0.00363682235941984,0.0146989173272441,0.133464274870904
"554","Alkalilactibacillus","Thiomonas",-0.0169019975627836,0.0004455922285615,0.0290495059831577,0.499999999999999
"555","Chloriridovirus","Thiomonas",0.0644806128978789,-0.000395455126209746,0.00261020306563883,0.93556348296299
"556","Tatumella","Thiomonas",0.0644647777365659,-0.000379619964896742,0.000344167875030473,0.915649062976853
