"","inds","deps","slopes","intersects","sps","ips"
"21","Chromatiaceae","Desulfuromonadaceae",1.54198915295022,4.16989690510671,0.000837640309270753,4.70502948860788e-07
"22","Glycomycetaceae","Desulfuromonadaceae",0.440802421854328,1.89582434486441,0.0450715145699862,7.04203838560659e-06
"23","Brevibacteriaceae","Desulfuromonadaceae",0.0461031026578308,0.0138349011252335,0.0423874651151975,0.0967698406332553
"24","Phyllobacteriaceae","Desulfuromonadaceae",0.936178204301724,2.96345004209136,0.00566312893759894,1.93374163667472e-06
"25","Methylococcaceae","Desulfuromonadaceae",0.940009776460931,0.846507421722228,0.0468322659089909,0.00330952687090649
"26","Bacteriovoracaceae","Desulfuromonadaceae",1.40774385516326,0.622989541113944,0.000567037443442662,0.000414634460929176
"27","Psychromonadaceae","Desulfuromonadaceae",-0.591855564685523,2.54568709363183,0.0335446041791628,4.7355207723088e-06
"28","Methanobacteriaceae","Cyclobacteriaceae",0.159931067651425,2.96784104853693,0.000670895793225565,2.08730926635113e-05
"29","Heliobacteriaceae","Cyclobacteriaceae",0.660710613988521,4.34067173464808,0.0342027835744614,0.00300863891568738
"30","Acidaminococcaceae","Cyclobacteriaceae",1.01538017762426,3.25747980636738,0.0390180479775371,0.00703037474303469
"31","Cyclobacteriaceae","Cyclobacteriaceae",0.106062231762635,1.3002328173475e-16,2.04039959976868e-16,0.0953735720012659
"32","Halobacteriaceae","Cyclobacteriaceae",0.140104799741215,1.9146302100595,0.01476919186111,0.000624082487987673
"33","Thermoplasmataceae","Cyclobacteriaceae",-0.0912346671105416,0.409475635556625,0.00313780670436748,0.000403646177438653
"34","Deferribacteraceae","Cyclobacteriaceae",-1.8902038180591,5.72596090025327,0.00426116432187095,0.000812146099539636
"35","Veillonellaceae","Cyclobacteriaceae",-0.82718457274566,5.54295567090008,0.0392787403933058,0.00338848383745187
"36","Thermofilaceae","Cyclobacteriaceae",0.122918615075301,0.104234516040801,0.00914762734950797,0.00622830648782892
"37","Rubrobacteraceae","Cyclobacteriaceae",-0.170371897008634,1.50450739107896,0.0143549447695698,0.000938680575169871
"38","Dermabacteraceae","Cyclobacteriaceae",0.586693227222915,1.92385202344978,0.0132386177493288,0.00233121373194377
"39","Catenulisporaceae","Tsukamurellaceae",0.484232780017186,2.58281088949683,0.0299917376801482,2.19364711860654e-05
"40","Alicyclobacillaceae","Tsukamurellaceae",0.2025519689277,3.06181455620637,0.0420692059810396,1.43648147489256e-06
